index,Title,DOI
623,WDEA: The Structure and Semantic Fusion With Wasserstein Distance for Low-Resource Language Entity Alignment,10.1109/taslp.2024.3419415
641,Zero-shot Entity Linking with Less Data,10.18653/v1/2022.findings-naacl.127
647,INDEX: the Intelligent Data Steward Toolbox Utilizing Large Language Model Embeddings for Automated Data Harmonization,
678,LEAPME: Learning-based Property Matching with Embeddings,10.1016/j.datak.2021.101943
703,SMUTF: Schema Matching Using Generative Tags and Hybrid Features,10.1016/j.is.2025.102570
727,Enhancing Trait Thesauri Interoperability Using a Manual and Automated Alignment Approach,10.3390/app152312484
733,GRAM: Generative Retrieval Augmented Matching of Data Schemas in the Context of Data Security,10.1145/3637528.3671602
735,Breaking Digital Health Barriers Through a Large Language Model–Based Tool for Automated Observational Medical Outcomes Partnership Mapping: Development and Validation Study,10.2196/69004
756,MCSFF: Multi-modal Consistency and Specificity Fusion Framework for Entity Alignment,10.1109/swc62898.2024.00381
789,Multi-Modal Pre-Synergistic Fusion Entity Alignment Based on Mutual Information Strategy Optimization,10.32604/cmc.2025.069690
799,Annotation of biological samples data to standard ontologies with support from large language models,10.1016/j.csbj.2025.05.020
835,Unsupervised fuzzy temporal knowledge graph entity alignment via joint fuzzy semantics learning and global structure learning,10.1016/j.neucom.2024.129019
849,Pretrained language models for semantics-aware data harmonisation of observational clinical studies in the era of big data,10.1186/s12911-025-03055-y
862,Multi-source Heterogeneous Data Governance Based on Semi-supervised Learning; 基于半监督学习的多源异构数据治理,10.11908/j.issn.0253-374x.22228
870,Combining FCA-Map with Representation Learning for Aligning Large Biomedical Ontologies,
872,Multirelational Tensor Graph Attention Networks for Knowledge Fusion in Smart Enterprise Systems,10.1109/tii.2022.3190548
902,Rpt: Relational pre-trained transformer is almost all you need towards democratizing data preparation,10.14778/3457390.3457391
909,An automatic ontology construction approach for BIM-IoT semantic integration in intelligent operation and maintenance of high-speed railway stations,10.1088/2631-8695/ae1c92
943,MAYA: Exploring multiform attributes of node to align YANG data models,10.1016/j.comnet.2022.109538
963,Development of the InBan_CIDO Ontology by Reusing the Concepts Along with Detecting Overlapping Information,10.1007/978-981-16-6723-7_26
975,HLMEA: Unsupervised Entity Alignment Based on Hybrid Language Models,10.1609/aaai.v39i11.33294
987,Intelligent recruitment decision support combining Transformer model and knowledge graph,10.1145/3662739.3672315
1000,Construction of the CIM hierarchical classification semantic network based on multi-source heterogeneous data,10.16511/j.cnki.qhdxxb.2025.26.033
1029,CARTE: Pretraining and Transfer for Tabular Learning,
1033,Semantic enrichment for BIM-based building energy performance simulations using semantic textual similarity and fine-tuning multilingual LLM,10.1016/j.jobe.2024.110312
1117,Explainable Integration of Knowledge Graphs Using Large Language Models,10.1007/978-3-031-35320-8_9
1151,CDE-Mapper: Using retrieval-augmented language models for linking clinical data elements to controlled vocabularies,10.1016/j.compbiomed.2025.110745
1169,PhenoAlign: A Hybrid Data-Knowledge-Driven Approach for Precisely Aligning Phenotype Information in Medical Texts,10.1109/jbhi.2025.3529598
1219,A semi-automated approach for multilingual terminology matching: Mapping the French version of the ICD-10 to the ICD-10 Cm,10.3233/shti200114
1263,Catnip for MedCAT: Optimizing the Input for Automated SNOMED CT Mapping of Clinical Variables,10.3233/shti251390
1346,Mapping Study Variables to Common Data Elements Using GPT for Sheets: Towards Standardized Data Collection and Sharing,10.1109/ichi61247.2024.00048
1493,Generate Analysis-Ready Data for Real-world Evidence: Tutorial for Harnessing Electronic Health Records With Advanced Informatic Technologies,10.2196/45662
