"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Liu, B.; Zhang, J.; Lin, F.; Yang, C.; Peng, M.; Yin, W.","Liu, Ben (57937723800); Zhang, Jihai (57222182299); Lin, Fangquan (57221314556); Yang, Cheng (58599655400); Peng, Min (7202484705); Yin, Wotao (59898360300)","57937723800; 57222182299; 57221314556; 58599655400; 7202484705; 59898360300","SymAgent: A Neural-Symbolic Self-Learning Agent Framework for Complex Reasoning over Knowledge Graphs","2025","WWW 2025 - Proceedings of the ACM Web Conference","","","","98","108","9","10.1145/3696410.3714768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005140683&doi=10.1145%2F3696410.3714768&partnerID=40&md5=87bd6f100d2141a359e6687968ec972a","School of Computer Science, Wuhan University, Wuhan, Hubei, China; Alibaba Group Holding Limited, Hangzhou, Zhejiang, China; Alibaba Group, USA, San Mateo, CA, United States","Liu, Ben, School of Computer Science, Wuhan University, Wuhan, Hubei, China; Zhang, Jihai, Alibaba Group Holding Limited, Hangzhou, Zhejiang, China; Lin, Fangquan, Alibaba Group Holding Limited, Hangzhou, Zhejiang, China; Yang, Cheng, Alibaba Group Holding Limited, Hangzhou, Zhejiang, China; Peng, Min, School of Computer Science, Wuhan University, Wuhan, Hubei, China; Yin, Wotao, Alibaba Group, USA, San Mateo, CA, United States","Recent advancements have highlighted that Large Language Models (LLMs) are prone to hallucinations when solving complex reasoning problems, leading to erroneous results. To tackle this issue, researchers incorporate Knowledge Graphs (KGs) to improve the reasoning ability of LLMs. However, existing methods face two limitations: 1) they typically assume that all answers to the questions are contained in KGs, neglecting the incompleteness issue of KGs, and 2) they treat the KG as a static repository and overlook the implicit logical reasoning structures inherent in KGs. In this paper, we introduce SymAgent, an innovative neural-symbolic agent framework that achieves collaborative augmentation between KGs and LLMs. We conceptualize KGs as dynamic environments and transform complex reasoning tasks into a multi-step interactive process, enabling KGs to participate deeply in the reasoning process. SymAgent consists of two modules: Agent-Planner and Agent-Executor. The Agent-Planner leverages LLM’s inductive reasoning capability to extract symbolic rules from KGs, guiding efficient question decomposition. The Agent-Executor autonomously invokes predefined action tools to integrate information from KGs and external documents, addressing the issues of KG incompleteness. Furthermore, we design a self-learning framework comprising online exploration and offline iterative policy updating phases, enabling the agent to automatically synthesize reasoning trajectories and improve performance. Experimental results demonstrate that SymAgent with weak LLM backbones (i.e., 7B series) yields better or comparable performance compared to various strong baselines. Further analysis reveals that our agent can identify missing triples, facilitating automatic KG updates. © 2025 Copyright held by the owner/author(s).","Knowledge Graph; Large Language Model Agent; Self-Learning","Agent Framework; Knowledge graphs; Language model; Large language model agent; Learning agents; Logical reasoning; Model agents; Reasoning ability; Reasoning problems; Self-learning; Knowledge graph","M. Peng; School of Computer Science, Wuhan University, Wuhan, China; email: pengm@whu.edu.cn","","Association for Computing Machinery, Inc","","9798400712746","","","English","WWW - Proc. ACM Web Conf.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005140683"
"Liao, H.; He, S.; Xu, Y.; Zhang, Y.; Liu, K.; Zhao, J.","Liao, Huanxuan (58574507700); He, Shizhu (56021680600); Xu, Yao (36697356200); Zhang, Yuanzhe (56405783600); Liu, Kang (55729555700); Zhao, Jun (59157650500)","58574507700; 56021680600; 36697356200; 56405783600; 55729555700; 59157650500","Neural-Symbolic Collaborative Distillation: Advancing Small Language Models for Complex Reasoning Tasks","2025","Proceedings of the AAAI Conference on Artificial Intelligence","39","23","","24567","24575","1","10.1609/aaai.v39i23.34636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004169892&doi=10.1609%2Faaai.v39i23.34636&partnerID=40&md5=720b7d97d873b024200154c9bb40ddb1","The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Shanghai Artificial Intelligence Laboratory, Shanghai, China; National Science Library, Chinese Academy of Sciences, Beijing, China","Liao, Huanxuan, The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China, School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; He, Shizhu, The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China, School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Xu, Yao, The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China, School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Zhang, Yuanzhe, National Science Library, Chinese Academy of Sciences, Beijing, China; Liu, Kang, The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China, School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China, Shanghai Artificial Intelligence Laboratory, Shanghai, China; Zhao, Jun, The Key Laboratory of Cognition and Decision Intelligence for Complex Systems, Institute of Automation Chinese Academy of Sciences, Beijing, Beijing, China, School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China","In this paper, we propose Neural-Symbolic Collaborative Distillation (NesyCD), a novel knowledge distillation method for learning the complex reasoning abilities of Large Language Models (LLMs, e.g., >13B). We argue that complex reasoning tasks are difficult for Small Language Models (SLMs, e.g., ≤ 7B), as these tasks demand not only general cognitive abilities but also specialized knowledge, which is often sparse and difficult for these neural-based SLMs to effectively capture. Therefore, NesyCD distills the general capabilities and specialized knowledge in LLMs in different ways. On the one hand, we distill only general abilities from teacher LLMs into the student SLMs of parameterized neural networks. On the other hand, for the specialized abilities and uncommon knowledge of a complex reasoning task, we employ a symbolic knowledge distillation approach to obtain and store the specialized knowledge within a symbolic knowledge base (KB). By decoupling general and specialized capabilities, the proposed NesyCD can achieve superior performance cost-effectively, utilizing smaller models and blending parameterized neural networks with symbolic KB. Moreover, the specialized KB generalizes well and is comprehended and manipulated by humans. Our experiments show that NesyCD significantly boosts SLMs' complex reasoning performance on in-domain (BBH, GSM8K) and out-of-domain (AGIEval, ARC) datasets. Notably, our approach enabled the LLaMA3-8B and Qwen2-7B to surpass GPT-3.5turbo in performance and come close to matching LLaMA3-70B, despite the latter having 9× more parameters. © © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","","Expert systems; Knowledge acquisition; Cognitive ability; Distillation method; Language model; Parameterized neural network; Reasoning ability; Reasoning tasks; Specialized knowledge; Symbolic knowledge; Task demand; Teachers'; Domain Knowledge","","Walsh, T.; Shah, J.; Kolter, Z.","Association for the Advancement of Artificial Intelligence","21595399","9781577358879; 157735897X; 9781577358978; 1577358872; 9781577358800","","","English","Proc. AAAI Conf. Artif. Intell.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105004169892"
"White, Y.; Lipsey, J.; Heflin, J.","White, Yasir (59761689500); Lipsey, Jevon (59760821600); Heflin, Jeff (7004397647)","59761689500; 59760821600; 7004397647","An Evaluation of Approaches to Train Embeddings for Logical Inference","2025","Proceedings of the AAAI Conference on Artificial Intelligence","39","28","","29527","29528","1","10.1609/aaai.v39i28.35313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003902743&doi=10.1609%2Faaai.v39i28.35313&partnerID=40&md5=07f0bc1c5aa0f7261c5a5da2f31f86ef","Los Angeles Pierce College, Los Angeles, CA, United States; Colorado College, Colorado Springs, CO, United States; Lehigh University, Bethlehem, PA, United States","White, Yasir, Los Angeles Pierce College, Los Angeles, CA, United States; Lipsey, Jevon, Colorado College, Colorado Springs, CO, United States; Heflin, Jeff, Lehigh University, Bethlehem, PA, United States","Knowledge bases traditionally require manual optimization to ensure reasonable performance when answering queries. We build on previous neurosymbolic approaches by improving the training of an embedding model for logical statements that maximizes similarity between unifying atoms and minimizes similarity of non-unifying atoms. In particular, we evaluate different approaches to training this model. © © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","","Domain Knowledge; Expert systems; Answering queries; Embeddings; Logical inference; Logical statements; Optimisations; Performance; Knowledge engineering","","Walsh, T.; Shah, J.; Kolter, Z.","Association for the Advancement of Artificial Intelligence","21595399","9781577358879; 157735897X; 9781577358978; 1577358872; 9781577358800","","","English","Proc. AAAI Conf. Artif. Intell.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105003902743"
"Kalutharage, C.S.; Liu, X.; Chrysoulas, C.","Kalutharage, Chathuranga Sampath (58031916600); Liu, Xiaodong (55717309800); Chrysoulas, Christos E. (23968530000)","58031916600; 55717309800; 23968530000","Neurosymbolic learning and domain knowledge-driven explainable AI for enhanced IoT network attack detection and response","2025","Computers and Security","151","","104318","","","16","10.1016/j.cose.2025.104318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214903984&doi=10.1016%2Fj.cose.2025.104318&partnerID=40&md5=850846ecfa8c6c9b3bf1daa05cc7b4f8","Edinburgh Napier University, Edinburgh, Scotland, United Kingdom; Heriot-Watt University, Edinburgh, Scotland, United Kingdom","Kalutharage, Chathuranga Sampath, Edinburgh Napier University, Edinburgh, Scotland, United Kingdom; Liu, Xiaodong, Edinburgh Napier University, Edinburgh, Scotland, United Kingdom; Chrysoulas, Christos E., Heriot-Watt University, Edinburgh, Scotland, United Kingdom","In the dynamic landscape of network security, where cyberattacks continuously evolve, robust and adaptive detection mechanisms are essential, particularly for safeguarding Internet of Things (IoT) networks. This paper introduces an advanced anomaly detection model that utilizes Artificial Intelligence (AI) to identify network anomalies based on traffic features, explaining the most influential factors behind each detected anomaly. The model integrates domain knowledge stored in a knowledge graph to verify whether the detected anomaly constitutes a legitimate attack. Upon validation, the model identifies which core cybersecurity principles—Confidentiality, Integrity, or Availability (CIA)—are violated by mapping influential feature values. This is followed by an alignment with the MITRE ATT&CK framework to provide insights into potential attack tactics, techniques, and intelligence-driven countermeasures. By leveraging explainable AI (XAI) and incorporating expert domain knowledge, our approach bridges the gap between complex AI predictions and human-understandable decision-making, thereby enhancing both detection accuracy and result interpretability. This transparency facilitates faster responses and real-time decision-making while improving adaptability to new, unseen cyber threats. Our evaluation on network traffic datasets demonstrates that the model not only excels in detecting and explaining anomalies but also achieves an overall detection accuracy of 0.97 with the integration of domain knowledge for attack legitimacy. Furthermore, it provides 100% accuracy for threat intelligence based on the MITRE ATT&CK framework, ensuring that security measures are verifiable, actionable, and ultimately strengthen IoT environment defenses by delivering real-time threat intelligence and responses, thus minimizing human response time. © 2025 The Authors","Attack detection; Expert knowledge; Explainable artificial intelligence; Neurosymbolic learning; Threat intelligence","Cyber attacks; Network security; Attack detection; Cyber-attacks; Detection accuracy; Domain knowledge; Expert knowledge; Explainable artificial intelligence; Network attack; Networks security; Neurosymbolic learning; Threat intelligence; Domain Knowledge","C.S. Kalutharage; Edinburgh Napier University, Scotland, United Kingdom; email: c.kalutharage@napier.ac.uk","","Elsevier Ltd","01674048","","CPSED","","English","Comput Secur","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85214903984"
"Maree, M.","Maree, Mohammed (57204394191)","57204394191","Quantifying Relational Exploration in Cultural Heritage Knowledge Graphs with LLMs: A Neuro-Symbolic Approach for Enhanced Knowledge Discovery","2025","Data","10","4","52","","","3","10.3390/data10040052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003465024&doi=10.3390%2Fdata10040052&partnerID=40&md5=da2ecc7477f85e074d6a0060ee9eb2ce","Faculty of Information Technology, Arab American University, Jenin, West Bank, Palestine","Maree, Mohammed, Faculty of Information Technology, Arab American University, Jenin, West Bank, Palestine","This paper introduces a neuro-symbolic approach for relational exploration in cultural heritage knowledge graphs, exploiting Large Language Models (LLMs) for explanation generation and a mathematically grounded model to quantify the interestingness of relationships. We demonstrate the importance of the proposed interestingness measure through a quantitative analysis, highlighting its significant impact on system performance, particularly in terms of precision, recall, and F1-score. Utilizing the Wikidata Cultural Heritage Linked Open Data (WCH-LOD) dataset, our approach achieves a precision of 0.70, recall of 0.68, and an F1-score of 0.69, outperforming both graph-based (precision: 0.28, recall: 0.25, F1-score: 0.26) and knowledge-based (precision: 0.45, recall: 0.42, F1-score: 0.43) baselines. Furthermore, the proposed LLM-powered explanations exhibit better quality, as evidenced by higher BLEU (0.52), ROUGE-L (0.58), and METEOR (0.63) scores compared to baseline approaches. We further demonstrate a strong correlation (0.65) between the interestingness measure and the quality of generated explanations, validating its ability to guide the system towards more relevant discoveries. This system offers more effective exploration by achieving more diverse and human-interpretable relationship explanations compared to purely knowledge-based and graph-based methods, contributing to the knowledge-based systems field by providing a personalized and adaptable relational exploration framework. © 2025 by the author.","contextual relevance; cultural heritage; explainable AI (XAI); interestingness score; knowledge graphs; large language models (LLMs); neuro-symbolic AI; personalized explanation","Contextual relevance; Cultural heritages; Explainable AI (XAI); Interestingness; Interestingness score; Knowledge graphs; Language model; Large language model; Neuro-symbolic AI; Personalized explanation; Knowledge graph","M. Maree; Faculty of Information Technology, Arab American University, Jenin, 00970, Palestine; email: mohammed.maree@aaup.edu","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Data","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003465024"
"Karabulut, E.; Groth, P.; Degeler, V.","Karabulut, Erkan (57214623255); Groth, Paul T. (8983775600); Degeler, Victoria (37017205000)","57214623255; 8983775600; 37017205000","3K: Knowledge-Enriched Digital Twin Framework","2025","IoT 2024 - Proceedings of the 14th International Conference on the Internet of Things","","","","188","193","0","10.1145/3703790.3703834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002829202&doi=10.1145%2F3703790.3703834&partnerID=40&md5=bf914d9c08c11e2f4c694fd3b0a9f8a4","Universiteit van Amsterdam, Amsterdam, Noord-Holland, Netherlands","Karabulut, Erkan, Universiteit van Amsterdam, Amsterdam, Noord-Holland, Netherlands; Groth, Paul T., Universiteit van Amsterdam, Amsterdam, Noord-Holland, Netherlands; Degeler, Victoria, Universiteit van Amsterdam, Amsterdam, Noord-Holland, Netherlands","Digital Twins (DTs) are the digital equivalent of physical entities that facilitate, among others, monitoring and decision-making, thus helping extend the longevity of the twinned entity. DTs with automated decision-making capabilities require explainable inference mechanisms, especially for critical infrastructures such as water networks. Here we introduce 3K, a DT framework that aims for knowledge-enriched inference that is explainable and fast, by synthesizing knowledge representation (semantics) and knowledge discovery methods. 3K constructs a knowledge graph, which is becoming a mainstream way of metadata storage in DTs, and proposes a new method that can run on both sensor data and knowledge graphs to learn semantic association rules. The rules represent the expected working conditions of the DT and we argue that when combined with domain knowledge in the form of ontological axioms, semantic association rules can help perform downstream tasks in DTs, including extending the longevity of the twinned entities such as an Internet of Things (IoT) system. Furthermore, we demonstrate the 3K framework in a water distribution network use case and show how it can be used for downstream tasks. © 2024 Copyright held by the owner/author(s).","Digital Twin; Knowledge discovery; Neural Networks; Neurosymbolic; Rule Learning; Semantic Web","Critical infrastructures; Automated decision making; Decisions makings; Digital equivalents; Down-stream; Knowledge graphs; Neural-networks; Neurosymbolic; Rule learning; Semantic associations; Semantic-Web; Knowledge graph","","","Association for Computing Machinery, Inc","","9798400712852","","","English","IoT - Proc. Int. Conf. Internet Things","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002829202"
"Sakor, A.; Brunet, M.; Iglesias, E.; Rivas, A.; Rohde, P.D.; Kraft, A.; Vidal, M.-E.","Sakor, Ahmad (57200274370); Brunet, Mauricio (57820710500); Iglesias, Enrique (57213597531); Rivas, Ariam (57202330267); Rohde, Philipp D. (57213277305); Kraft, Angelina (57188695916); Vidal, María Esther (7202765018)","57200274370; 57820710500; 57213597531; 57202330267; 57213277305; 57188695916; 7202765018","Integrating Knowledge Graphs and Neuro-Symbolic AI: LDM Enables FAIR and Federated Research Data Management","2025","WSDM 2025 - Proceedings of the 18th ACM International Conference on Web Search and Data Mining","","","","1044","1047","1","10.1145/3701551.3704125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001674633&doi=10.1145%2F3701551.3704125&partnerID=40&md5=b3d928d2299248d89b3721ad32a3c577","Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Forschungszentrum L3S, Hannover, Niedersachsen, Germany","Sakor, Ahmad, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Brunet, Mauricio, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Iglesias, Enrique, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany, Forschungszentrum L3S, Hannover, Niedersachsen, Germany; Rivas, Ariam, Forschungszentrum L3S, Hannover, Niedersachsen, Germany; Rohde, Philipp D., Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Kraft, Angelina, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Vidal, María Esther, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany, Forschungszentrum L3S, Hannover, Niedersachsen, Germany","Managing research digital objects (RDOs) in compliance with FAIR principles is crucial for ensuring accessibility, interoperability, and reusability across scientific domains. The Leibniz Data Manager (LDM) is a state-of-the-art framework that integrates Knowledge Graphs (KGs) and Neuro-Symbolic AI, combining the reasoning power of Large Language Models (LLMs) with structured metadata. LDM supports the management and enhancement of RDOs through entity linking, connecting datasets to external KGs like Wikidata and the Open Research Knowledge Graph (ORKG). Additionally, LDM offers federated query processing across KGs, enabling users to explore related papers, datasets, and resources through natural language questions. This demo showcases LDM's capabilities to explore RDOs, compare existing datasets, and extend metadata. By blending Neuro-Symbolic AI with FAIR and federated research data management, LDM offers a powerful tool for accelerating data-driven discovery in science. LDM is publicly accessible at https://service.tib.eu/ldmservice/. © 2025 Copyright held by the owner/author(s).","Data Science; Digital Repositories; Federated Search","Data Science; Information management; Query languages; Query processing; Research and development management; Reusability; Structured Query Language; Digital Objects; Digital repository; External knowledge; Federated search; Knowledge graphs; Language model; Power; Research data managements; State of the art; Structured metadatas; Knowledge graph","M.-E. Vidal; TIB - Leibniz Information Centre for Science and Technology, Hannover, Germany; email: maria.vidal@tib.eu","","Association for Computing Machinery, Inc","","9798400713293","","","English","WSDM - Proc. ACM Int. Conf. Web Search Data Min.","Conference paper","Final","","Scopus","2-s2.0-105001674633"
"Purohit, D.; Chudasama, Y.; Vidal, M.-E.","Purohit, Disha (58684366500); Chudasama, Yashrajsinh (58684465700); Vidal, María Esther (7202765018)","58684366500; 58684465700; 7202765018","Enhancing Medical Knowledge Discovery: A Neuro-symbolic System for Inductive Learning over Medical KGs","2025","WSDM 2025 - Proceedings of the 18th ACM International Conference on Web Search and Data Mining","","","","1108","1109","1","10.1145/3701551.3708814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001669096&doi=10.1145%2F3701551.3708814&partnerID=40&md5=85a4e134b3adb4c9560025fc38718861","Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Forschungszentrum L3S, Hannover, Niedersachsen, Germany","Purohit, Disha, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Chudasama, Yashrajsinh, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Vidal, María Esther, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany, Forschungszentrum L3S, Hannover, Niedersachsen, Germany","Medical knowledge graphs (KGs) excel at integrating heterogeneous healthcare data with domain knowledge, but face challenges due to incompleteness. While Knowledge Graph Embedding (KGE) models show promise in link prediction, they often fail to incorporate crucial semantic constraints from medical ontologies and clinical guidelines. We propose a neuro-symbolic system that enhances medical knowledge discovery by combining symbolic learning from medical ontologies, inductive learning through KGE, and semantic constraint validation. Applied to lung cancer care, our system demonstrates enhanced performance in predicting novel medical relationships while maintaining semantic consistency with medical knowledge. Experimental results show our approach enhances the KGE model's performance while ensuring clinical validity and the implementation is publicly accessible on GitHub. © 2025 Copyright held by the owner/author(s).","inductive learning; knowledge graphs; link prediction; medical knowledge; neuro-symbolic","Adversarial machine learning; Contrastive Learning; Graph embeddings; Lung cancer; Prediction models; Inductive learning; Knowledge graphs; Link prediction; Medical knowledge; Medical knowledge discovery; Medical ontology; Neuro-symbolic; Neuro-symbolic system; Semantic constraints; Knowledge graph","","","Association for Computing Machinery, Inc","","9798400713293","","","English","WSDM - Proc. ACM Int. Conf. Web Search Data Min.","Conference paper","Final","","Scopus","2-s2.0-105001669096"
"Sakor, A.; Singh, K.; Vidal, M.-E.","Sakor, Ahmad (57200274370); Singh, Kuldeep (57212017864); Vidal, María Esther (7202765018)","57200274370; 57212017864; 7202765018","BioLinkerAI: Leveraging LLMs to Improve Biomedical Entity Linking and Knowledge Capture","2025","WSDM 2025 - Proceedings of the 18th ACM International Conference on Web Search and Data Mining","","","","1110","1111","0","10.1145/3701551.3708812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001668967&doi=10.1145%2F3701551.3708812&partnerID=40&md5=8c11f7e92b238fc26e7f8060827a2d48","Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Cerence GmbH, Aachen, Germany","Sakor, Ahmad, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany; Singh, Kuldeep, Cerence GmbH, Aachen, Germany; Vidal, María Esther, Gottfried Wilhelm Leibniz Universität Hannover, Hannover, Niedersachsen, Germany","We introduce BioLinkerAI, a neuro-symbolic framework for biomedical entity linking that integrates symbolic (domain-specific and linguistic rules) and sub-symbolic (large language models) components. Unlike traditional approaches requiring extensive labeled training data, BioLinkerAI harnesses a knowledge base and rules for candidate generation, while a pre-trained LLM handles final disambiguation. This combination ensures adaptability to diverse biomedical knowledge bases and complex entity mentions. Empirical evaluations show that BioLinkerAI surpasses state-of-the-art benchmarks, notably increasing unseen data accuracy from 65.4 to 78.5 without relying on extensive labeled datasets. © 2025 Copyright held by the owner/author(s).","ai; biomedical domain; entity linking; knowledge extraction; knowledge graph; llm; neuro-symbolic ai; nlp","Domain Knowledge; Ai; Biomedical domain; Domain specific; Entity linking; Knowledge capture; Knowledge extraction; Knowledge graphs; Llm; Neuro-symbolic ai; Nlp; Knowledge graph","","","Association for Computing Machinery, Inc","","9798400713293","","","English","WSDM - Proc. ACM Int. Conf. Web Search Data Min.","Conference paper","Final","","Scopus","2-s2.0-105001668967"
"Odense, S.; Garcez, A.","Odense, Simon (57173115900); Garcez, Artur D’Avila (6603397393)","57173115900; 6603397393","A semantic framework for neurosymbolic computation","2025","Artificial Intelligence","340","","104273","","","1","10.1016/j.artint.2024.104273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213846982&doi=10.1016%2Fj.artint.2024.104273&partnerID=40&md5=b18213231e7a5d901503d673ed014616","Simon Fraser University, Burnaby, BC, Canada; City, University of London, London, United Kingdom","Odense, Simon, Simon Fraser University, Burnaby, BC, Canada; Garcez, Artur D’Avila, City, University of London, London, United Kingdom","The field of neurosymbolic AI aims to benefit from the combination of neural networks and symbolic systems. A cornerstone of the field is the translation or encoding of symbolic knowledge into neural networks. Although many neurosymbolic methods and approaches have been proposed, and with a large increase in recent years, no common definition of encoding exists that can enable a precise, theoretical comparison of neurosymbolic methods. This paper addresses this problem by introducing a semantic framework for neurosymbolic AI. We start by providing a formal definition of semantic encoding, specifying the components and conditions under which a knowledge-base can be encoded correctly by a neural network. We then show that many neurosymbolic approaches are accounted for by this definition. We provide a number of examples and correspondence proofs applying the proposed framework to the neural encoding of various forms of knowledge representation. Many, at first sight disparate, neurosymbolic methods, are shown to fall within the proposed formalization. This is expected to provide guidance to future neurosymbolic encodings by placing them in the broader context of semantic encodings of entire families of existing neurosymbolic systems. The paper hopes to help initiate a discussion around the provision of a theory for neurosymbolic AI and a semantics for deep learning. © 2024 The Authors","Neural encoding; Neural networks; Neurosymbolic integration; Reasoning; Symbolic logic","Deep learning; Encoding (symbols); Knowledge representation; Network coding; Neural machine translation; Neural networks; Combination of neural-network; Encodings; Neural encoding; Neural network systems; Neural-networks; Neural-symbolic systems; Neurosymbolic integration; Reasoning; Semantics framework; Symbolic logic; Semantics","A. d'Avila Garcez; City, University of London, United Kingdom; email: a.garcez@city.ac.uk","","Elsevier B.V.","00043702","","AINTB","","English","Artif Intell","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85213846982"
"Marra, G.; Diligenti, M.; Giannini, F.","Marra, Giuseppe (57204181546); Diligenti, Michelangelo (55972544500); Giannini, Francesco (57200215660)","57204181546; 55972544500; 57200215660","Relational reasoning networks","2025","Knowledge-Based Systems","310","","112822","","","6","10.1016/j.knosys.2024.112822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214690014&doi=10.1016%2Fj.knosys.2024.112822&partnerID=40&md5=c36cd84cf42174f6c13f53aafc4ccd05","Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium; Department of Information Engineering and Mathematics, Università degli Studi di Siena, Siena, SI, Italy; Faculty of Science, Scuola Normale Superiore di Pisa, Pisa, RM, Italy","Marra, Giuseppe, Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium; Diligenti, Michelangelo, Department of Information Engineering and Mathematics, Università degli Studi di Siena, Siena, SI, Italy; Giannini, Francesco, Faculty of Science, Scuola Normale Superiore di Pisa, Pisa, RM, Italy","Neural-symbolic methods integrate neural architectures, knowledge representation and reasoning. However, they have struggled with both the intrinsic uncertainty of the observations and scaling to real-world applications. This paper presents Relational Reasoning Networks (R2N), a novel end-to-end model that performs relational reasoning in the latent space of a deep learner architecture, where the representations of constants, ground atoms and their manipulations are learned in an integrated fashion. Unlike flat architectures such as Knowledge Graph Embedders, which can only represent relations between entities, R2Ns define an additional computational structure, accounting for higher-level relations among the ground atoms. The considered relations can be explicitly known, like the ones defined by logic formulas, or defined as unconstrained correlations among groups of ground atoms. R2Ns can be applied to purely symbolic tasks or as a neural-symbolic platform to integrate learning and reasoning in heterogeneous problems with entities represented both symbolically and feature-based. The proposed model overtakes the limitations of previous neural-symbolic methods that have been either limited in terms of scalability or expressivity. The proposed methodology is shown to achieve state-of-the-art results in different experimental settings. © 2024","First-order logic; Knowledge graph embeddings; Latent relational reasoning; Neuro-symbolic methods","Generative adversarial networks; Graph neural networks; Graph theory; Knowledge graph; Network embeddings; First order logic; Graph embeddings; Knowledge graph embedding; Knowledge graphs; Knowledge representation and reasoning; Latent relational reasoning; Neural architectures; Neuro-symbolic method; Relational reasoning; Symbolic methods","M. Diligenti; Department of Information Engineering and Mathematics, University of Siena, Italy; email: michelangelo.diligenti@unisi.it","","Elsevier B.V.","09507051","","KNSYE","","English","Knowl Based Syst","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85214690014"
