term,occurrences
multi-source heterogeneous data,4
ehr,4
ontology learning,4
bioinformatics,4
open data,4
mapping,4
data spaces,4
blockchain,4
knowledge engineering,4
remote sensing,4
heterogeneous graph,4
feature engineering,4
integration,4
owl,4
hybrid ai,4
explainable artificial intelligence (xai),4
neuro-symbolic computing,4
temporal knowledge graph,4
rule learning,4
multi-hop reasoning,4
zero-shot learning,4
autonomous driving,4
neural-symbolic computing,4
personalized learning,4
neural-symbolic reasoning,4
embedding,4
knowledge representation learning,4
smart grid,4
lstm,4
convolutional neural networks,4
explainable recommendation,4
data augmentation,4
knowledge graph integration,4
rag,4
graph convolutional neural network,4
graph convolutional network,4
chatgpt,4
deep neural network,4
multi-modal knowledge graph,4
e-commerce,4
text semantic matching,4
hl7 fhir,3
data harmonisation,3
vision transformer,3
snomed ct,3
tabular data,3
traditional chinese medicine,3
artificial neural network,3
knowledge organization,3
linked open data,3
chain-of-thought,3
siamese network,3
medical image segmentation,3
evaluation framework,3
semantic web technologies,3
graphrag,3
domain adaptation,3
data validation,3
tf-idf,3
gnn,3
healthcare system,3
common data model,3
knowledge graph (kg),3
classification,3
sequential recommendation,3
knowledge discovery,3
heterogeneous data,3
data quality,3
language model,3
case-based reasoning,3
decision support systems,3
etl,3
graph convolutional neural networks,3
metadata,3
semantic fusion,3
omop cdm,3
end-to-end,3
pre-trained language model,3
visual analytics,3
multilingual,3
ontology design,3
biomedical ontology matching,3
medical knowledge,3
covid-19,3
ecommerce,3
pretrained language model,3
semantic segmentation,3
string similarity,3
data science,3
change detection,3
recommendation systems,3
cnn,3
knowledge management,3
neo4j,3
multi-agent system,3
ontology reasoning,3
explanation,3
self-supervised learning,3
common sense knowledge,3
scene graph,3
visual question answering,3
generative artificial intelligence,3
ontology embedding,3
expert knowledge,3
neuro-symbolic systems,3
generalization,3
cybersecurity,3
interpretable ai,3
umls,3
clinical decision support,3
description logics,3
multi-agent reinforcement learning,3
answer set programming,3
knowledge graphs (kgs),3
context-awareness,3
human activity recognition,3
knowledge infusion,3
datalog,3
knowledge transfer,3
matrix factorization,3
interpretable machine learning,3
neural-symbolic learning,3
digital twins,3
domain knowledge,3
graph embeddings,3
neuromorphic computing,3
drug repurposing,3
commonsense reasoning,3
object detection,3
visualization,3
gene expression,3
educational technology,3
multimodal alignment,3
cross-attention mechanism,3
legal information retrieval,3
legal technology,3
multi-omics integration,3
knowledge base question answering,3
multimodal entity linking,3
hybrid clustering,3
graph convolution network,3
smart manufacturing,3
regression,3
pre-trained model,3
supervised learning,3
feature extraction,3
graph convolutional networks,3
external knowledge,3
knowledge integration,3
cyber threat intelligence,3
multi-modal learning,3
machine reading comprehension,3
random forest,3
text summarization,3
search,3
knowledge graph question answering,3
time series,3
text matching,3
personalized medicine,3
sentence-bert,3
image-text retrieval,3
cosine similarity,3
english translation,3
neural machine translation,3
image captioning,3
semantic representation,3
power quality,3
low-resource languages,3
multimodal learning,2
alignment,2
semantic mapping,2
dimensionality reduction,2
clinical trials,2
pubmed,2
automatic data harmonization,2
data stewardship,2
few-shot learning,2
health informatics,2
oncology,2
semantic data management,2
automation,2
controlled vocabulary,2
controlled vocabularies,2
tabular data annotation,2
ifc,2
genetic programming (gp),2
column matching,2
schema mapping,2
graph transformer,2
human-in-the-loop (hitl),2
openrefine,2
semantic harmonization,2
fair data,2
quality control,2
web 3.0,2
system of systems,2
pre-trained language models,2
oaei,2
reference dataset,2
methodology,2
data analytics,2
intelligent system,2
complex ontology matching,2
biomedical informatics,2
breast cancer,2
common data elements,2
data collection,2
dynamic environment,2
incremental data alignment,2
relational database,2
cidoc crm,2
ebucore,2
ontology-based metadata integration,2
research data management,2
semantic embedding,2
lime,2
ontology debugging,2
knowledge base embedding,2
web ontology language (owl),2
ontology alignment evaluation initiative,2
data analysis,2
network management,2
geospatial knowledge graphs,2
data federation,2
knowledge graph generation,2
computational pathology,2
description logic,2
data curation,2
medical informatics,2
complex ontology alignment,2
named entity recognition (ner),2
similarity calculation,2
hypothesis generation,2
biomedical ontologies,2
n-gram model,2
topic model,2
metadata harmonization,2
heterogeneity,2
smart building,2
logistic regression,2
health information management,2
text processing,2
earth observation,2
precision agriculture,2
causal maps,2
conceptual model,2
mental model,2
utility matrix,2
semantic labeling,2
standards,2
context awareness,2
expert systems,2
similarity measure,2
dictionary,2
negative sampling,2
mbti,2
yolo,2
long short term memory (lstm),2
urban analytics,2
smart cities,2
inductive learning,2
symbolic constraint validation,2
symbolic learning,2
academic recommendation,2
neuro-symbolic approach,2
hybrid artificial intelligence,2
knowledge-based systems,2
prolog,2
unification,2
satellite imagery,2
large language model agent,2
attack detection,2
neurosymbolic learning,2
threat intelligence,2
biomedical domain,2
biomedical entity linking,2
commonsense qa,2
knowledge base qa,2
open-domain qa,2
ethical ai,2
hybrid models,2
transparency,2
decision support,2
knowledge graphs (kg),2
concept learning,2
benchmark,2
benchmarking,2
ontology-based reasoning,2
machine reasoning,2
trustworthy artificial intelligence,2
first order logic,2
knowledge-aware recommender systems,2
human-in-the-loop,2
conversational agents,2
knowledge acquisition,2
knowledge management applications,2
neural-symbolic system,2
knowledge reasoning,2
compositionality,2
image schemas,2
hybrid intelligent systems,2
inference mechanisms,2
computational complexity,2
building information modelling (bim),2
fb15k-237,2
ai for education,2
learner modelling,2
knowledge,2
data sparsity,2
knowledge representation and reasoning,2
neurosymbolic reasoning,2
backward chaining,2
domain-specific knowledge graph,2
recurrent neural network,2
approximate reasoning,2
root cause analysis,2
temporal knowledge graphs,2
neural-symbolic learning and reasoning,2
neuro-symbolic intelligence,2
entity prediction,2
logic,2
path reasoning,2
public health,2
computational biology,2
question-answering system,2
hybrid neural network,2
intelligent transportation systems,2
human-computer interaction,2
intelligent question answering system,2
automated feature engineering,2
educational data mining,2
data privacy,2
meta-learning,2
computed tomography,2
knowledge graph construction,2
multi-source data fusion,2
transformer architecture,2
drug combination,2
t5,2
recommendation model,2
challenges,2
digital transformation,2
stable diffusion,2
resource allocation,2
multi-hop question answering,2
relation detection,2
self-attention,2
multimodal data,2
external knowledge base,2
artificial general intelligence,2
q&a,2
predictive maintenance,2
self-attention mechanism,2
relation classification,2
long short-term memory,2
iot time-series,2
sugarcane irrigation,2
faq retrieval,2
persian language processing,2
code review,2
dijkstra and ant colony optimization,2
dynamic neighbor-weighted knn,2
personalized learning closed loop,2
spatio-temporal attention,2
heterogeneous multi-source data,2
multi-granularity modeling,2
tp/ap data integration,2
power dispatch,2
healthcare informatics,2
word embeddings,2
medical image analysis,2
semantic alignment,2
cross-modal fusion,2
malware detection,2
node classification,2
column type annotation,2
text mining,2
topic modeling,2
retrieval-enhanced generation,2
intelligent tutoring systems,2
recurrent neural networks,2
mental health,2
energy efficiency,2
biomarker,2
multi-modal data,2
system design,2
chatbot,2
gpt,2
query rewriting,2
graph construction,2
knowledge embedding,2
dynamic knowledge graphs,2
graph neural networks (gnn),2
hybrid modeling,2
entity description,2
medical question-answering,2
question answering system,2
cross-language,2
topological structure,2
transformer model,2
gcn,2
multimodal large language models,2
graph contrastive learning,2
service discovery,2
hybrid model,2
multi-modal entity alignment,2
attention network,2
urref,2
recommendation algorithm,2
social network,2
biomedical text mining,2
joint extraction,2
natural language understanding,2
neural architecture search,2
multi-attention,2
convolutional network,2
explainable reasoning and learning,2
non-monotonic logical reasoning,2
robotics,2
particle swarm optimization,2
forecasting,2
convolutional neural network (cnn),2
deepseek algorithm,2
smart education,2
human capital management,2
multilingual nlp,2
data matching,2
job matching,2
attention mechanisms,2
cross-lingual,2
abstractive summarization,2
sentence representation,2
social media,2
glam,2
internet of things,2
resource description framework,2
cloud computing,2
semantic web integration,2
cross-domain ontology,2
web technology,2
industry 4.0,2
multivariate time series,2
semantic reliability,2
semantic communication,2
memory network,2
conversational ai,2
event detection,2
contextual understanding,2
neuro-symbolic models,2
heterogeneous knowledge,2
biomarker discovery,2
semantic embeddings,2
semantic parsing,2
graph attention network (gat),2
joint entity and relation extraction,2
vector search,2
adversarial training,2
hybrid,2
multimodal contrastive learning,2
sentence transformers,2
intelligent proofreading,2
vector embeddings,2
bertopic,1
cultural heritage preservation,1
multilingual corpus,1
"architecture, engineering and construction (aec)",1
bim-iot integration,1
intelligent operation and maintenance (o&m),1
semantic ontology,1
generative language models,1
medical history (anamnesis),1
medical image management,1
service-oriented architecture,1
digital curation,1
modern art,1
semantic tagging,1
denoising,1
fair,1
skos thesauri,1
species traits,1
corpus-based similarity,1
hybrid-based similarity,1
observable properties,1
pretrained language models (plms),1
pretrained language models,1
semantic harmonisation,1
sentence bert,1
unsupervised machine learning,1
bioactive compounds,1
evidence-based health,1
parkinson’s disease,1
port state control inspection,1
visual prompt tuning,1
gene expression imputation,1
multi-slice joint analysis,1
spatial domain identification,1
spatial transcriptomics,1
fine-grained attribute,1
multi-modal approach,1
vision–semantics integration,1
data alignment strategy,1
data-to-text generation,1
faithful text generation,1
task-adaptive pre-training,1
data conversion,1
dual-branch network,1
micro-expression recognition,1
multi-stage feature fusion,1
computerized medical record system,1
data visualization,1
transcription factors,1
clinical data elements,1
metadata standardization,1
engineering data management framework,1
multi-source data integration,1
scenario-driven,1
data models,1
saref,1
data merging,1
biomedical terminology,1
electronic medical records,1
medical ontology,1
symptom phenotypes,1
demand response system,1
energy-flexible production optimization,1
green electricity index,1
semantic middleware,1
behavior-semantic collaboration,1
generative recommendation,1
llm-as-recommender,1
domain analysis,1
knowledge translation,1
technology transfer,1
translational medicine,1
anchor-based hierarchical partitioning,1
large-scale biomedical ontology matching,1
relevance reasoning,1
task termination prediction,1
evolutionary,1
multi-objective,1
talent,1
fine-tuning,1
knowledge of traditional chinese medicine,1
background knowledge,1
questionnaires,1
openehr,1
graph neural network (gnn),1
industrial knowledge graph (ikg),1
zero-shot testing,1
cardiovascular health study,1
distribution learning,1
ensemble learning,1
gold standard labels,1
intercohort comparison,1
intracohort comparison,1
semantic learning,1
variable harmonization,1
relation embedding generation,1
relational graph transformer,1
building information modeling (bim),1
construction knowledge representation,1
ontology-based attribute mapping,1
digital cultural heritage,1
external identifier property,1
consumer electronics,1
multimodal image retrieval,1
region composition,1
feature similarity computation,1
multi-scenario,1
digital system of units (d-si),1
semantic metrology,1
humanities,1
social sciences,1
sshoc-nl,1
med2rdf,1
sparql,1
tabulae,1
reranking,1
job recommendation systems,1
text parsing,1
access and usage control,1
policy conflict resolution,1
w3c dpv,1
w3c odrl,1
asset management,1
data mesh,1
engineering systems,1
identifier management,1
reference context,1
software interoperability,1
declarative mappings,1
fair principles,1
mapping annotation,1
mapping lifecycle,1
metadata annotation,1
named graph,1
rdf-star,1
usability,1
field service engineering,1
fmea,1
llm graph transformer,1
powertrain,1
prescriptive maintenance,1
rca,1
cross-modal collaboration,1
pseudo labeling,1
database integration,1
global-local feature fusion,1
semantic feature integration,1
transformer-based sr,1
bioinformatics toolkit,1
phenotypic data,1
bleu score,1
english-hindi translation,1
support vector machine,1
word translation probabilities,1
data migration,1
data transformation,1
frameworks,1
computer science education,1
constructive alignment,1
curriculum evaluation,1
educational standards,1
cardiovascular research,1
multi-cohort studies,1
cemr,1
graph learning,1
lexicon,1
multi-semantic,1
ner,1
document recommendation,1
resource description framework (rdf),1
city information mode,1
hierarchical classification,1
continuity of care,1
life science domain,1
neon-gpt,1
flexible queries,1
relational databases,1
user interface,1
archival data,1
archives,1
digital archives,1
reusability,1
biological samples,1
registry data,1
aspect-based sentiment analysis (absa),1
chain of thought (cot),1
dependency relations,1
explicit opinion,1
implicit opinion,1
target-aspect-sentiment (tasd),1
internet of everything (ioe),1
sensor knowledge graph (skg) matching,1
similarity feature (sf) construction,1
author name disambiguation,1
ensemble classification,1
instance matching,1
event log,1
iiot,1
process-mining,1
sustainable development goals (sdg),1
data pooling,1
harmonisation,1
meta-analysis,1
retrospective data harmonisation,1
data management,1
microplastics,1
plastic,1
trash,1
semantic model,1
soybean breeding,1
few-shot image classification,1
modality alignment,1
cultural informatics,1
generative modeling,1
enhanced transformer,1
ultra-high resolution image segmentation,1
binary classification,1
similarity measures,1
competency question for alignment,1
complex alignment,1
user needs,1
ai for cyber-physical systems,1
dynamic interoperability,1
computer science ontology,1
bifactor model,1
factor analysis,1
p-factor,1
psychopathology,1
graph algorithms,1
graph mining,1
graph theory,1
locality-sensitive hashing,1
semantic mapping network,1
text-based recommendation,1
data exchange,1
master data management,1
semantic mappings,1
applied ontology,1
bridge-concepts,1
network harmonization,1
ontology design patterns,1
ontology reuse,1
unified foundational ontology,1
food consumer science,1
interdisciplinary collaboration,1
ontology development,1
ontology-based system,1
petroleum reservoir analysis,1
r2rml,1
teaching design,1
teaching evaluation system,1
carbon balance,1
farm,1
ghg inventories,1
global warming,1
greenhouse gases,1
net zero,1
attention,1
database pattern matching,1
fair ml,1
ml metadata,1
agricultural ontologies,1
breaches identifying,1
breaches remedying,1
matching adaptation,1
owl-2 ontologies evolution,1
domain-specific ontologies,1
data sharing,1
gpt for sheets,1
distribution discrepancy,1
state-of-health (soh) prediction,1
temporal covariate shift,1
disparate data source,1
compact genetic algorithm,1
heuristic selection (hs),1
multichromosome,1
multitasking optimization,1
ontology matching (om),1
cross-institutional data exchange,1
discrepancy analysis,1
federated data access challenges,1
fhir profiles,1
health level 7 fast healthcare interoperability resources,1
medical informatics initiative,1
bi-contrastive alignment,1
incomplete multi-view clustering,1
semantic guided,1
metadata interoperability,1
knownledge graph,1
humanitarian response,1
knowledge-oriented model,1
cohort study,1
computational time,1
heterogeneous ontologies,1
memory consumption,1
metaheuristic algorithms,1
ontology integration,1
population based metaheuristic algorithms,1
elt,1
extract-load-transform,1
extract-transform-load,1
medical domain,1
metadata-driven,1
embedding stability,1
battery production,1
battery research,1
data structures,1
constrained embedding,1
controllable variational autoencoder model,1
data generation,1
ground penetrating radar,1
time-varying array,1
database design patterns,1
ontology generation,1
semantic integration of databases,1
approximate evaluation metric,1
intelligent sensor system (iss),1
light genetic programming (l-gp),1
sensor ontology matching (som),1
two-stage tournament selection,1
human mobility,1
spatial interaction,1
urban land use,1
semantic query,1
alignment plan,1
maple,1
matching scenario,1
ontolex-lemon,1
vocbench 3,1
void,1
multi-source data,1
ontology evaluation,1
ontology alignment sentence transformers zero-shot,1
cross-cohort query,1
data element mapping,1
ontology completion,1
health information interoperability,1
health research,1
i2b2,1
icgc argo,1
secondary use of health data,1
adaptive online deep learning,1
adversarial attacks,1
hedge backpropagation,1
photovoltaic installation admittance capacity,1
terminal measurement data,1
energy domain,1
aero-engines,1
domain adaption,1
prognostics and health management,1
remaining useful life prediction,1
working-condition shift,1
distinctive features,1
knowledge unit,1
attribute semantic type (ast) identification,1
context-aware,1
graph evolution,1
instance construction,1
mapping reusing,1
ocean circulation,1
spatial–temporal ontology,1
multi-modal optimization,1
niching multi-objective particle swarm optimization algorithm,1
sensor ontology matching,1
dimension reduction,1
multi-omics data,1
data preparation,1
semantic type discovering,1
semantic typing,1
web data,1
netconf,1
yang model,1
command and control,1
multi-layer ontology,1
semantic data model,1
geo-enrichment,1
modular ontology modeling,1
ex-pertiza,1
irr,1
krippendorf's alpha,1
labeling,1
pattern,1
project,1
reliability,1
reliable,1
strategy,1
taggers,1
tags,1
unreliable,1
4p medicine,1
data fabric,1
xml,1
fair digital objects,1
metadata analysis,1
ontology population,1
histopathology,1
decentralized knowledge graphs,1
smart contracts,1
arabic nlp,1
fine-grained emotions,1
ontology augmentation,1
cancer registration,1
childhood cancer,1
cross-lingual aspect-based sentiment analysis,1
multilingual aspect-based sentiment analysis,1
randomized controlled trials,1
real-world evidence,1
reproducibility,1
dating,1
software,1
temporal expressions,1
time periods,1
categorical variables,1
mappings,1
numerical variables,1
autonomous system,1
compact co-evolutionary brain storm optimization algorithm,1
hybrid confidence measure,1
property alignment,1
international medical informatics association,1
knowledge representation and management,1
knowledgeggraph,1
digital government (e-government),1
ontology enrichment,1
ontology-driven conceptual modeling,1
ontouml,1
attribute mapping,1
data heterogeneity,1
global and local schemas,1
healthcare domain,1
ontology based data retrieval,1
data governance,1
missing data imputation,1
semi-supervised learning,1
anchor-based semantic partitioning,1
confidence matrix based evolutionary algorithm,1
large-scale ontology,1
pattern-based similarity measure,1
self-attention model,1
cross-subject,1
euclidean space data alignment,1
event-related potential,1
leave-one-subject-out,1
low-dimensional subspace embedding,1
multiple features,1
rapid serial visual presentation,1
heet sib song,1
thai culture,1
disease,1
food,1
microbiome,1
text-mining,1
word2vec,1
aric,1
cardiovascular disease,1
cluster analysis,1
meta-analysis as topic,1
systems biology,1
circadian rhythm,1
informatics,1
sleep,1
osteomyelitis,1
post-traumatic arthritis,1
surgical biobank,1
system theory,1
incoherent ontologies,1
justification computation,1
ontology repair,1
eye movements,1
generalized additive models,1
predictability,1
recurrent neural network model,1
mamdani inference,1
common fund,1
metadata integration,1
survey alignment,1
criminology domain,1
grus,1
knowledge stores,1
semantic knowledge graph,1
weather system,1
school dropout,1
smart readiness indicator,1
instance-based matching,1
knowledge graphs matching,1
social media sensing,1
web sensing,1
data warehousing,1
layered schemas,1
omop,1
concept equivalence,1
ontology merging,1
oral history,1
domain vocabulary,1
semantic compatibility,1
medical databases,1
medical schema matching,1
harris’ hawks optimization,1
semantic similarities,1
upper ontology,1
network of ontologies,1
system integration,1
metadata matching,1
self-sovereign identity,1
ssi,1
banking sector,1
cido,1
covid-19-ibo,1
iri,1
database harmonization,1
natality data,1
cancer registry,1
probability distribution,1
probability metrics,1
fuzzy rule,1
opinion,1
sentiment score,1
user reviews,1
de-identification,1
dicom,1
glioblastoma,1
head–neck cancer,1
longitudinal date changes (ldc),1
normalization,1
patient health record (phr),1
protected health information (phi),1
radiology,1
radiomics,1
application integration,1
scrum,1
data table,1
cognitive automation,1
cyber-physical systems,1
data quality management,1
data mobilization,1
functional traits,1
clinical data network,1
dunhuang murals,1
entity similarity,1
multi-granularity,1
constrained based matching,1
lexical similarity,1
semantic enhanced nearest neighbour (senn),1
similarity matching,1
threshold-svm,1
alignment ontology,1
ethic ai,1
structural alignment,1
trustworthiness,1
clinical studies,1
observational studies,1
geometry,1
geosparql,1
model unification,1
space,1
land cover,1
ndvi,1
spatio-temporal,1
embedding technology,1
relational data,1
mathematical equations,1
plant phenomics,1
attention over attention,1
schema-level matching,1
medical information systems,1
kl divergence,1
mini batch k-means,1
web pmi,1
annotations-based video retrieval,1
video mining,1
adaptive selection pressure,1
approximate evaluation indicator,1
evolution algorithm,1
ontology meta-matching,1
binary relations,1
concepts,1
hierarchy,1
inheritance,1
taxonomy,1
satellite images,1
final alignment,1
graph attentional network,1
cognitive graphs,1
higher order data,1
myers-briggs type indicator,1
self organizing maps,1
tensor distance metrics,1
topological error,1
cardiac ablation,1
communication protocol,1
electrophysiology study,1
hl7 cda,1
terminology mapping,1
europeana,1
object classification,1
shabtis,1
conditional random fields crf,1
moocs,1
ontology-based analytics,1
transport sustainability indicators,1
siamese neural network,1
framework,1
linguistic features,1
ontology matching algorithm,1
biomedical knowledge,1
biomedical literature,1
disease-specific,1
clinical terminologies,1
icd-10,1
multilingual matching,1
metadata and ontologies,1
ogc standards,1
content-based recommender system,1
"e-learning, ontology, content-based recommender system, knowledge representation, learner",1
felder-silverman learning style model,1
learner's profile,1
learning content,1
learning style,1
"s profile, learning content, learning style, felder-silverman learning style model",1
bigdata,1
graph visualization,1
nosql,1
matching instances,1
schema alignment,1
surface water ontologies,1
heterogeneous information.,1
biological and biomedical ontologies,1
cross-references,1
data linking,1
obo foundry,1
obo ontologies,1
obo-xrefs,1
geographic information systems (gis),1
geospatial data,1
owl ontology,1
behavior crime data,1
crime data,1
mixed data,1
harmony search,1
energy saving,1
semantics integration,1
benchmarks requirements,1
ontology authoring,1
ontology benchmark recommender,1
ontology tool category,1
ontology visualization,1
egyptian food safety ontology (efso),1
food safety counseling system (fscs),1
international article number (ean),1
rule base management system (rbms),1
semantic web rule language (swrl),1
information integration,1
integrating systems,1
cognitive modeling,1
concept acquisition,1
multimodal interaction,1
partial completeness assumption,1
arabic narrative generation,1
cultural evaluation metrics,1
cultural schema ontology,1
hybrid architecture,1
knowledge-driven nlg,1
owl/swrl reasoning,1
graph databases,1
neuro symbolic intelligence,1
subsymbolic data,1
symbolic data,1
multimodal rare disease diagnostics,1
neuro-symbolic swarm intelligence,1
privacy-preserving healthcare ai,1
quantum-entangled federated learning,1
quantum-secure differential privacy,1
internet of agents,1
graph convolutional network (gcn),1
policy-alignment,1
symbolic rule reasoning,1
distributed deep learning,1
financial shared services,1
grain enterprises,1
process optimization,1
enterprise decision-making,1
intelligent decision support systems,1
neural-symbolic systems,1
computer vision tasks,1
context-dependent reasoning,1
em algorithm,1
markov logic network,1
probabilistic logic reasoning,1
legal reasoning,1
complex logical query answering,1
first-order logical reasoning,1
corneal bioengineering,1
corneal topography,1
neuro-symbolic techniques,1
surgical decision support,1
age-related macular degeneration,1
multimodal ophthalmic imaging,1
personalized treatment planning,1
prognosis,1
data-driven reasoning,1
graph routing,1
3d scene representation,1
image analysis,1
military mission simulation,1
model mining,1
point cloud analysis,1
virtual mission areas,1
data-centric governance,1
no-stop government,1
public service provision,1
adaptive knowledge systems,1
axiom weakening,1
ethical ai development,1
hybrid human-ai intelligence,1
leveraging hallucinations,1
numerical learning,1
copper deposit,1
mineral prediction,1
differentiable fuzzy semantics,1
symbol grounding,1
causal-aware knowledge distillation,1
dynamic subgraph pruning,1
entity and relation prediction,1
graph kag,1
hybrid reasoning,1
crop-yield prediction,1
self-learning,1
contextual relevance,1
interestingness score,1
personalized explanation,1
digital repositories,1
federated search,1
neural encoding,1
symbolic logic,1
latent relational reasoning,1
neuro-symbolic methods,1
business process automation,1
knowledge-intensive processes,1
fake news detection,1
human-oriented approach,1
image representation,1
unseen relationships,1
zero-shot retrieval,1
explainable classification,1
moral value detection,1
synthetic data,1
neural-symbolic method,1
symbol-manipulation,1
counterfactual prediction,1
kg-based applications,1
valid link prediction,1
contextual intelligence,1
rule-based entity extraction,1
blocking,1
egocentric activity understanding,1
open-world learning,1
vision-language foundation models,1
ddos attacks,1
packet flow,1
software defined network,1
throughput,1
adversarial behavior prediction,1
cognitive threat reasoning,1
cyber deception,1
neuro-symbolic fusion,1
gender equity,1
wikidata ontology,1
built environment,1
extended reality,1
neural response,1
neuroarchitecture,1
urban cognition,1
formal knowledge,1
neural symbolic,1
anticipatory learning classifier systems,1
neurosymbolic approach,1
clinical nlp,1
java api,1
non-standard reasoner,1
explanation generation,1
ontology concept similarity,1
filter bubbles,1
knowledge graph adaptation,1
over-personalization,1
personalized knowledge graphs,1
recommendation diversity,1
user-centric ai,1
artificial general intelligence (agi),1
cognitive architectures,1
diffusion-based language models,1
instruction tuning,1
reinforcement learning from human feedback (rlhf),1
world models,1
pcb fault detection,1
neuro-semantic ai data warehouse,1
meal preparation,1
recipe analysis,1
robot manipulation,1
adaptive reasoning,1
hierarchical knowledge graphs,1
semantic understanding,1
graph kernel,1
hallucination,1
dl class expressions,1
dl-learner,1
llm's,1
embedded representations,1
kge explanability,1
probabilistic reasoning,1
multi-agent systems (mas),1
multimodal lms,1
neurosymbolic methods,1
personal service robots,1
survey,1
categorical logic,1
category theory,1
model theory,1
monads,1
neurosymbolic computing,1
ai in healthcare,1
bias reduction,1
edge ai,1
real-time ai,1
self-explanatory ai,1
transparent decision-making,1
computer architecture,1
neuro symbolic ai,1
graph queries,1
intelligent healthcare,1
5g smart healthcare networks,1
context-aware resource management,1
quality of service,1
experience transfer between neuro-symbolic agents,1
knowledge graphs for shared memory representation,1
ontology for multi-agent experience transfer,1
semantic memory for multi-agent teams,1
ai agency,1
ai-human collaboration,1
deliberative ai,1
ergative ai,1
ergative languages,1
language alignment,1
performative simulations,1
defect detection,1
effects analysis (fmea),1
failure mode,1
root cause analysis (rca),1
semiconductor manufacturing,1
zero defect manufacturing (zdm),1
xair models,1
ai accountability,1
ai transparency,1
answer set programming (asp),1
hybrid artificial intelligence (ai),1
object state classification,1
supply chain risk management,1
moral values,1
constrained decoding,1
controllable text generation,1
natural logic,1
textual inference,1
first-order logic rules,1
knowledge based question answering system,1
multi-turn dialogue,1
deepfake detection,1
emotion recognition,1
manipulation detection,1
evaluation metrics,1
safe ai,1
social good,1
agricultural knowledge graphs,1
agricultural large model,1
plant disease detection,1
smart agriculture,1
data and knowledge visualization,1
digital libraries,1
open research knowledge graph,1
scientific papers,1
provenance,1
differentiable inductive logic programming,1
neuro-symbolic method,1
implication bias,1
lithium battery disassembly,1
complex logical reasoning,1
knowledge grpah,1
advanced artificial intelligence,1
existential positive first order query,1
explainable,1
linear temporal logic,1
query,1
hardware-software co-design,1
knowledge-based reasoning,1
fuzzy inference,1
logical query,1
neural-symbolic model,1
natural language inference,1
translation to logic,1
abductive learning,1
fluoroscopy,1
vertebrae localization,1
neurosymbolic approaches,1
situated robotics,1
affordances,1
